kew_id,taxon_name,sporophytic_chromosome_number,infraspecific_variation_chrom_number,other_reported_sporophytic_chromosome_number,source_of_other_chrom_num
118618-1,Mertensia maritima (L.) Gray,24,n,NA,NA
726564-1,Mespilus germanica L.,NA,NA,34,"C-ValueDB, Zonneveld, 2019"
828387-1,Metasequoia glyptostroboides Hu & W.C.Cheng,NA,NA,22,"Zonneveld, 2019"
844931-1,Meum athamanticum Jacq.,22,n,22,Šmarda et al. 2019
1122217-2,Mibora minima (L.) Desv.,14,n,"14, 28","C-ValueDB, Zonneveld, 2019"
160055-2,Micranthes nivalis (L.) Small,NA,NA,NA,NA
77068348-1,"Micranthes stellaris (L.) Galasso, Banfi & Soldano",28,n,NA,NA
287109-1,Microthlaspi perfoliatum (L.) F.K.Mey.,NA,NA,42,Šmarda et al. 2019
408599-1,Milium effusum L.,28,n,28,"C-ValueDB, Šmarda et al. 2019"
408697-1,Milium vernale M.Bieb.,8,n,8,C-ValueDB
155635-1,Minuartia recurva (All.) Schinz & Thell.,NA,NA,NA,NA
162591-2,Mirabilis jalapa L.,NA,NA,NA,NA
408768-1,Miscanthus sinensis Andersson,NA,NA,36-42,"Zonneveld, 2019"
806146-1,Misopates calycinum Rothm.,NA,NA,16,C-ValueDB
806149-1,Misopates orontium (L.) Raf.,NA,NA,"14, 16","C-ValueDB, Zonneveld, 2019"
791970-1,Mitella ovalis Greene,NA,NA,NA,NA
155772-1,Moehringia trinervia (L.) Clairv.,24,n,24,"Šmarda et al. 2019, Zonneveld, 2019"
155781-1,"Moenchia erecta (L.) G.Gaertn., B.Mey. & Schreb.",36,n,NA,NA
98382-3,Molinia caerulea (L.) Moench,36,n,"36, 90","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
331307-1,Moneses uniflora (L.) A.Gray,NA,NA,26,Šmarda et al. 2019
311155-2,Montia fontana L.,20,n,"18, 20, 40","C-ValueDB, Šmarda et al. 2019"
164111-2,Montia parvifolia (Moc.) Greene,NA,NA,NA,NA
854688-1,Morus nigra L.,NA,NA,308,Šmarda et al. 2019
694744-1,Muehlenbeckia complexa (A.Cunn.) Meisn.,NA,NA,NA,NA
538447-1,Muscari armeniacum Leichtlin ex Baker,NA,NA,"18, 36","Zonneveld, 2019"
1027825-2,Muscari botryoides (L.) Mill.,NA,NA,"18, 36","Šmarda et al. 2019, Zonneveld, 2019"
538476-1,Muscari comosum (L.) Mill.,NA,NA,"18, 28","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
60460275-2,Muscari neglectum Guss. ex Ten.,NA,NA,18,Šmarda et al. 2019
233981-1,Mycelis muralis (L.) Dumort.,18,n,18,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
118892-1,Myosotis alpestris F.W.Schmidt,48,n,NA,NA
118914-1,Myosotis arvensis (L.) Hill,NA,NA,"36, 48, 52, 56","Šmarda et al. 2019, Zonneveld, 2019"
118996-1,Myosotis discolor Pers.,NA,NA,72,"Šmarda et al. 2019, Zonneveld, 2019"
119082-1,Myosotis laxa Lehm.,NA,NA,NA,NA
119209-1,Myosotis ramosissima Rochel,NA,NA,48,"Šmarda et al. 2019, Zonneveld, 2019"
119235-1,Myosotis scorpioides L.,64,n,"64, 66","C-ValueDB, Šmarda et al. 2019"
50867662-1,Myosotis secunda Al.Murray,48,n,NA,NA
119248-1,Myosotis sicula Guss.,NA,NA,NA,NA
77120068-1,Myosotis stolonifera (DC.) J.Gay ex Leresche & Levier,24,n,NA,NA
119282-1,Myosotis sylvatica Ehrh. ex Hoffm.,18,n,"18, 22","Šmarda et al. 2019, Zonneveld, 2019"
30001891-2,Myosurus minimus L.,NA,NA,16,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
300581-2,Myrica gale L.,48,n,48,"Zonneveld, 2019"
166255-2,Myrica pensylvanica Mirb.,NA,NA,NA,NA
430392-1,Myriophyllum alterniflorum DC.,14,n,"14, 28","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
166319-2,Myriophyllum aquaticum (Vell.) Verdc.,NA,NA,48,"Zonneveld, 2019"
430465-1,Myriophyllum spicatum L.,42,n,42,"Šmarda et al. 2019, Zonneveld, 2019"
430479-1,Myriophyllum verticillatum L.,28,n,28,"Šmarda et al. 2019, Zonneveld, 2019"
845120-1,Myrrhis odorata (L.) Scop.,22,n,22,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
30063340-2,Najas flexilis (Willd.) Rostk. & W.L.E.Schmidt,24,n,NA,NA
321282-2,Najas marina L.,NA,NA,12,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
65928-1,Narcissus bicolor L.,NA,NA,NA,NA
65939-1,Narcissus bulbocodium L.,NA,NA,14,C-ValueDB
65999-1,Narcissus cyclamineus DC.,NA,NA,14,C-ValueDB
66048-1,Narcissus hispanicus Gouan,NA,NA,"14, 21",C-ValueDB
66066-1,Narcissus jonquilla L.,NA,NA,14,C-ValueDB
66097-1,Narcissus macrolobus (Jord.) Pugsley,NA,NA,NA,NA
66111-1,Narcissus minor L.,NA,NA,NA,NA
66116-1,Narcissus moschatus L.,NA,NA,NA,NA
66126-1,Narcissus nobilis (Haw.) Schult.f.,NA,NA,NA,NA
66135-1,Narcissus obvallaris Salisb.,21,n,NA,NA
66149-1,Narcissus papyraceus Ker Gawl.,NA,NA,22,C-ValueDB
66165-1,Narcissus poeticus L.,14,n,21,C-ValueDB
66177-1,Narcissus pseudonarcissus L.,14| 43,v,14,"C-ValueDB, Zonneveld, 2019"
66190-1,Narcissus radiiflorus Salisb.,NA,NA,14,C-ValueDB
66240-1,Narcissus tazetta L.,20,v,20,C-ValueDB
66256-1,Narcissus triandrus L.,NA,NA,14,C-ValueDB
409307-1,Nardus stricta L.,26,n,26,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
538658-1,Narthecium ossifragum (L.) Huds.,26,n,26,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
281184-2,Nassella tenuissima (Trin.) Barkworth,NA,NA,NA,NA
287496-1,Nasturtium microphyllum (Boenn.) Rchb.,64,n,64,"C-ValueDB, Šmarda et al. 2019"
287534-1,Nasturtium officinale W.T.Aiton,32,n,"18, 32","C-ValueDB, Šmarda et al. 2019"
806327-1,Nemesia strumosa Benth.,NA,NA,NA,NA
432472-1,Nemophila menziesii Hook. & Arn.,NA,NA,18,C-ValueDB
645274-1,Neotinea maculata (Desf.) Stearn,NA,NA,NA,NA
998313-1,"Neotinea ustulata (L.) R.M.Bateman, Pridgeon & M.W.Chase",NA,NA,NA,NA
645308-1,Neottia cordata (L.) Rich.,NA,NA,NA,NA
645356-1,Neottia nidus-avis (L.) Rich.,NA,NA,36,Šmarda et al. 2019
645363-1,Neottia ovata (L.) Bluff & Fingerh.,34-36,s,NA,NA
452333-1,Nepeta cataria L.,34| 36,v,"18, 34, 36","Zonneveld, 2019"
452683-1,Nepeta racemosa Lam.,NA,NA,NA,NA
287664-1,Neslia paniculata (L.) Desv.,NA,NA,14,"C-ValueDB, Šmarda et al. 2019"
816832-1,Nicandra physalodes (L.) Gaertn.,NA,NA,20,"Zonneveld, 2019"
816845-1,Nicotiana alata Link & Otto,NA,NA,18,C-ValueDB
60460965-2,Nicotiana forgetiana Hemsl.,NA,NA,18,C-ValueDB
817055-1,Nicotiana rustica L.,NA,NA,48,C-ValueDB
817077-1,Nicotiana tabacum L.,NA,NA,48,"C-ValueDB, Zonneveld, 2019"
711645-1,Nigella damascena L.,NA,NA,12,"C-ValueDB, Zonneveld, 2019"
287737-1,Noccaea caerulescens (J.Presl & C.Presl) F.K.Mey.,14,n,14,Šmarda et al. 2019
119385-1,Nonea lutea (Desr.) DC.,NA,NA,14,"Zonneveld, 2019"
359064-1,Nothofagus alpina (Poepp. & Endl.) Oerst.,NA,NA,NA,NA
359083-1,Nothofagus dombeyi (Mirb.) Blume,NA,NA,NA,NA
359100-1,Nothofagus obliqua (Mirb.) Blume,NA,NA,NA,NA
538798-1,Nothoscordum borbonicum Kunth,NA,NA,NA,NA
30043701-2,Nuphar advena (Aiton) W.T.Aiton,NA,NA,34,C-ValueDB
30385379-2,Nuphar lutea (L.) Sm.,34,n,34,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
605460-1,Nuphar pumila (Timm) DC.,34,n,34,"C-ValueDB, Šmarda et al. 2019"
171158-2,Nymphaea alba L.,84,n,"84, 112","Šmarda et al. 2019, Zonneveld, 2019"
370207-1,Nymphoides peltata Kuntze,54,n,54,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
171353-2,Ochagavia carnea (Beer) L.B.Sm. & Looser,NA,NA,NA,NA
806416-1,Odontites jaubertianus (Boreau) D.Dietr. ex Walp.,NA,NA,NA,NA
806460-1,Odontites vernus (Bellardi) Dumort.,NA,NA,20,Šmarda et al. 2019
172648-2,Oemleria cerasiformis (Torr. & A.Gray ex Hook. & Arn.) J.W.Landon,NA,NA,NA,NA
845226-1,Oenanthe aquatica (L.) Poir.,22,n,22,"Šmarda et al. 2019, Zonneveld, 2019"
845253-1,Oenanthe crocata L.,22,n,22,"C-ValueDB, Zonneveld, 2019"
845277-1,Oenanthe fistulosa L.,22,n,22,"C-ValueDB, Šmarda et al. 2019"
845278-1,Oenanthe fluviatilis (Bab.) Coleman,22,n,NA,NA
845312-1,Oenanthe lachenalii C.C.Gmel.,22,n,22,"Zonneveld, 2019"
845351-1,Oenanthe pimpinelloides L.,22,n,22,"Zonneveld, 2019"
845379-1,Oenanthe silaifolia M.Bieb.,22,n,NA,NA
172755-2,Oenothera biennis L.,14,n,14,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
317809-2,Oenothera glazioviana P. Micheli,NA,NA,14,"Šmarda et al. 2019, Zonneveld, 2019"
614101-1,Oenothera stricta Ledeb. ex Link,NA,NA,NA,NA
234772-1,Olearia avicenniifolia (Raoul) Hook.f.,NA,NA,NA,NA
234862-1,Olearia macrodonta Baker,NA,NA,NA,NA
234892-1,Olearia paniculata (J.R.Forst. & G.Forst.) Druce,NA,NA,NA,NA
234947-1,Olearia traversii (F.Muell.) Hook.f.,NA,NA,NA,NA
77117776-1,Oloptum miliaceum Röser & Hamasha,NA,NA,NA,NA
235188-1,Omalotheca norvegica (Gunnerus) Sch. Bip. & F.W. Schultz,NA,NA,NA,NA
235192-1,Omalotheca supina (L.) DC.,28,n,NA,NA
235193-1,Omalotheca sylvatica (L.) Sch. Bip. & F.W. Schultz,56,n,NA,NA
119508-1,Omphalodes verna Moench,NA,NA,"42, 48","Zonneveld, 2019"
510168-1,Onobrychis viciifolia Scop.,NA,NA,28,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
281589-2,Onoclea sensibilis L.,NA,NA,74,C-ValueDB
510476-1,Ononis reclinata L.,60,n,NA,NA
510480-1,Ononis repens L.,60,p,60,Šmarda et al. 2019
332101-2,Ononis spinosa L.,30| 45,v,30,Šmarda et al. 2019
235234-1,Onopordum acanthium L.,34,n,34,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
17167260-1,Ophioglossum azoricum C.Presl,NA,NA,720,"Zonneveld, 2019"
17167680-1,Ophioglossum lusitanicum L.,250-260,n,NA,NA
304390-2,Ophioglossum vulgatum L.,500-c.540,p,"480, c. 540","Šmarda et al. 2019, Zonneveld, 2019"
647746-1,Ophrys apifera Huds.,NA,NA,36,"Šmarda et al. 2019, Zonneveld, 2019"
647902-1,Ophrys fuciflora (Crantz) Moench,NA,NA,NA,NA
647942-1,Ophrys insectifera L.,NA,NA,36,"Zonneveld, 2019"
648128-1,Ophrys sphegodes Mill.,NA,NA,NA,NA
648363-1,Orchis anthropophora (L.) All.,NA,NA,42,"Zonneveld, 2019"
648853-1,Orchis mascula (L.) L.,NA,NA,42,Šmarda et al. 2019
648875-1,Orchis militaris L.,42,n,42,"Šmarda et al. 2019, Zonneveld, 2019"
649036-1,Orchis purpurea Huds.,NA,NA,42,"Šmarda et al. 2019, Zonneveld, 2019"
649128-1,Orchis simia Lam.,NA,NA,NA,NA
17446120-1,Oreopteris limbosperma (All.) Holub,68,n,NA,NA
453395-1,Origanum vulgare L.,30,s,30,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
539020-1,Ornithogalum arabicum L.,NA,NA,NA,NA
539382-1,Ornithogalum nutans L.,NA,NA,14-42,"Zonneveld, 2019"
539466-1,Ornithogalum pyrenaicum L.,NA,NA,"16, 32","Zonneveld, 2019"
539600-1,Ornithogalum umbellatum L.,27| 28| 54,v,54,Šmarda et al. 2019
510843-1,Ornithopus compressus L.,NA,NA,14,"Zonneveld, 2019"
510863-1,Ornithopus perpusillus L.,14,n,14,"Šmarda et al. 2019, Zonneveld, 2019"
510864-1,Ornithopus pinnatus (Mill.) Druce,NA,NA,NA,NA
510872-1,Ornithopus sativus Brot.,NA,NA,14,"Zonneveld, 2019"
662091-1,Orobanche alba Stephan ex Willd.,NA,NA,38,"C-ValueDB, Šmarda et al. 2019"
662213-1,Orobanche caryophyllacea Sm.,38,n,38,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
662275-1,Orobanche crenata Forssk.,NA,NA,38,C-ValueDB
662313-1,Orobanche elatior Sutton,38,n,NA,NA
662398-1,Orobanche hederae Duby,38,n,38,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
53607-3,Orobanche minor Sm.,38,n,38,"C-ValueDB, Zonneveld, 2019"
662596-1,Orobanche picridis F.W.Schultz,38?,n,38,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
662643-1,Orobanche rapum-genistae Thuill.,38,n,38,C-ValueDB
662647-1,Orobanche reticulata Wallr.,38,n,38,"Zonneveld, 2019"
87585-1,Orontium aquaticum L.,NA,NA,26,C-ValueDB
176704-2,Orthilia secunda (L.) House,NA,NA,38,Šmarda et al. 2019
363876-1,Oscularia deltoides (L.) Schwantes,18,n,NA,NA
305721-2,Osmunda regalis L.,44,n,44,Šmarda et al. 2019
235822-1,Osteospermum jucundum (E.Phillips) Norl.,NA,NA,NA,NA
30012601-2,Oxalis acetosella L.,22,n,22,"Šmarda et al. 2019, Zonneveld, 2019"
374673-1,Oxalis articulata Savigny,14,n,NA,NA
177893-2,Oxalis corniculata L.,24,n,48,Šmarda et al. 2019
374833-1,Oxalis debilis Kunth,NA,NA,"14, 28","Zonneveld, 2019"
374834-1,Oxalis decaphylla Kunth,NA,NA,NA,NA
177944-2,Oxalis dillenii Jacq.,NA,NA,"16, 24","Šmarda et al. 2019, Zonneveld, 2019"
374902-1,Oxalis exilis A.Cunn.,NA,NA,NA,NA
375021-1,Oxalis incarnata L.,NA,NA,NA,NA
375051-1,Oxalis latifolia Kunth,NA,NA,NA,NA
178221-2,Oxalis megalorrhiza Jacq.,NA,NA,NA,NA
375259-1,Oxalis pes-caprae L.,NA,NA,NA,NA
178429-2,Oxalis rosea Jacq.,NA,NA,NA,NA
178499-2,Oxalis stricta L.,NA,NA,"18, 24","Šmarda et al. 2019, Zonneveld, 2019"
375466-1,Oxalis tetraphylla Cav.,56,n,NA,NA
178576-2,Oxalis valdiviensis Barnéoud,NA,NA,NA,NA
77121017-1,"Oxybasis chenopodioides (L.) S.Fuentes, Uotila & Borsch",NA,NA,NA,NA
77121014-1,"Oxybasis glauca (L.) S.Fuentes, Uotila & Borsch",NA,NA,NA,NA
77121013-1,"Oxybasis rubra (L.) S.Fuentes, Uotila & Borsch",36,n,NA,NA
77121015-1,"Oxybasis urbica (L.) S.Fuentes, Uotila & Borsch",36,n,NA,NA
694858-1,Oxyria digyna (L.) Hill,14,n,NA,NA
179551-2,Oxytropis campestris (L.) DC.,NA,NA,NA,NA
511514-1,Oxytropis halleri Bunge ex W.D.J.Koch,32,n,NA,NA
287903-1,Pachyphragma macrophyllum (Hoffm.) N.Busch,14,n,NA,NA
353208-1,Pachysandra terminalis Siebold & Zucc.,NA,NA,NA,NA
711802-1,Paeonia lactiflora Pall.,NA,NA,NA,NA
711821-1,Paeonia mascula (L.) Mill.,NA,NA,NA,NA
711836-1,Paeonia officinalis L.,NA,NA,20,C-ValueDB
66466-1,Pancratium maritimum L.,NA,NA,NA,NA
181618-2,Panicum capillare L.,NA,NA,18,"Zonneveld, 2019"
325362-2,Panicum dichotomiflorum Michx.,NA,NA,"36, 54","C-ValueDB, Zonneveld, 2019"
412217-1,Panicum miliaceum L.,NA,NA,36,"Šmarda et al. 2019, Zonneveld, 2019"
413051-1,Panicum schinzii Hack. ex Schinz,NA,NA,18,"Zonneveld, 2019"
673414-1,Papaver atlanticum (Ball) Coss.,NA,NA,14,"C-ValueDB, Zonneveld, 2019"
673428-1,Papaver bracteatum Lindl.,NA,NA,14,C-ValueDB
673433-1,Papaver cambricum L.,22,n,NA,NA
673488-1,Papaver dubium L.,28| 42,v,"14, 28, 42","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
673580-1,Papaver lecoqii Lamotte,28,n,NA,NA
673641-1,Papaver orientale L.,NA,NA,42,C-ValueDB
306058-2,Papaver rhoeas L.,14,n,14,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
77116624-1,Papaver setiferum Goldblatt,NA,NA,NA,NA
673724-1,Papaver somniferum L.,NA,NA,22,"C-ValueDB, Zonneveld, 2019"
413701-1,Parapholis incurva (L.) C.E.Hubb.,NA,NA,NA,NA
413704-1,Parapholis strigosa (Dumort.) C.E.Hubb.,28,n,NA,NA
806705-1,Parentucellia viscosa (L.) Caruel,48,n,48,"C-ValueDB, Zonneveld, 2019"
854934-1,Parietaria judaica L.,26,n,26,"Zonneveld, 2019"
854958-1,Parietaria officinalis L.,NA,NA,14,"Šmarda et al. 2019, Zonneveld, 2019"
539724-1,Paris quadrifolia L.,20,n,"10, 20","C-ValueDB, Šmarda et al. 2019"
792120-1,Parnassia palustris L.,18| 36,vs,18,Šmarda et al. 2019
184082-2,Parthenocissus inserta (A.Kern.) Fritsch,NA,NA,40,"Šmarda et al. 2019, Zonneveld, 2019"
184091-2,Parthenocissus quinquefolia (L.) Planch.,NA,NA,40,"Šmarda et al. 2019, Zonneveld, 2019"
50912710-1,Parthenocissus tricuspidata (Siebold & Zucc.) Planch.,NA,NA,40,"C-ValueDB, Zonneveld, 2019"
184275-2,Paspalum distichum L.,NA,NA,NA,NA
321949-2,Passiflora caerulea L.,NA,NA,18,C-ValueDB
845768-1,Pastinaca sativa L.,22,n,22,Šmarda et al. 2019
185784-2,Paulownia tomentosa (Thunb.) Steud.,NA,NA,40,"Zonneveld, 2019"
807439-1,Pedicularis palustris L.,16,n,16,"Šmarda et al. 2019, Zonneveld, 2019"
807692-1,Pedicularis sylvatica L.,16,n,16,"Šmarda et al. 2019, Zonneveld, 2019"
376366-1,Pelargonium inodorum Willd.,NA,NA,NA,NA
377100-1,Pelargonium tomentosum Jacq.,NA,NA,44,C-ValueDB
288039-1,Peltaria alliacea Jacq.,NA,NA,14,C-ValueDB
60457907-2,Pentaglottis sempervirens (L.) Tausch ex L.H.Bailey,22,n,22,"Zonneveld, 2019"
1164364-2,Pericallis hybrida B.Nord.,NA,NA,NA,NA
30193627-2,Persicaria amphibia (L.) Delarbre,88| 96,v,"66, 88, 96","Šmarda et al. 2019, Zonneveld, 2019"
60433515-2,Persicaria capitata (Buch.-Ham. ex D.Don) H.Gross,NA,NA,"22, 40","Zonneveld, 2019"
77069479-1,Persicaria hydropiper (L.) Delarbre,20,n,"20, 22","Šmarda et al. 2019, Zonneveld, 2019"
77069480-1,Persicaria lapathifolia (L.) Delarbre,22,n,22,"Šmarda et al. 2019, Zonneveld, 2019"
695052-1,Persicaria maculosa Gray,22| 44,v,44,"Šmarda et al. 2019, Zonneveld, 2019"
157828-3,Persicaria minor (Huds.) Opiz,NA,NA,40,"Šmarda et al. 2019, Zonneveld, 2019"
77108460-1,Persicaria mitis (Schrank) Assenov,NA,NA,40,"Šmarda et al. 2019, Zonneveld, 2019"
60433514-2,Persicaria nepalensis (Meisn.) H.Gross,NA,NA,NA,NA
695100-1,Persicaria pensylvanica (L.) M. Gómez,NA,NA,NA,NA
237345-1,Petasites albus (L.) Gaertn.,NA,NA,60,"Šmarda et al. 2019, Zonneveld, 2019"
237374-1,"Petasites hybridus (L.) G.Gaertn., B.Mey. & Schreb.",60,p,60,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
1067586-2,Petasites japonicus (Siebold & Zucc.) Maxim.,NA,NA,60,"Zonneveld, 2019"
942865-1,Petasites pyrenaicus (L.) G.López,52| c.60,v,NA,NA
945509-1,Petrorhagia dubia (Raf.) G.López & Romo,NA,NA,NA,NA
155978-1,Petrorhagia nanteuilii (Burnat) P.W.Ball & Heywood,60,n,NA,NA
155983-1,Petrorhagia prolifera (L.) P.W.Ball & Heywood,30| 60,v,30,"Šmarda et al. 2019, Zonneveld, 2019"
155987-1,Petrorhagia saxifraga (L.) Link,NA,NA,"30, 60",C-ValueDB
914405-1,Petrosedum forsterianum (Sm.) Grulich,c.90,n,NA,NA
945121-1,Petrosedum rupestre (L.) P.V.Heath,NA,NA,NA,NA
914411-1,Petrosedum sediforme (Jacq.) Grulich,NA,NA,NA,NA
60442790-2,Petroselinum crispum (Mill.) Fuss,22,n,22,"Zonneveld, 2019"
846292-1,Peucedanum officinale L.,NA,NA,66,"Zonneveld, 2019"
432789-1,Phacelia tanacetifolia Benth.,NA,NA,22,"Šmarda et al. 2019, Zonneveld, 2019"
415560-1,Phalaris aquatica L.,NA,NA,NA,NA
415571-1,Phalaris arundinacea L.,28,n,"28, 42","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
415588-1,Phalaris canariensis L.,12,n,12,"C-ValueDB, Zonneveld, 2019"
415632-1,Phalaris minor Retz.,28,n,28,C-ValueDB
415647-1,Phalaris paradoxa L.,NA,NA,14,C-ValueDB
513754-1,Phaseolus coccineus L.,22,n,22,"C-ValueDB, Zonneveld, 2019"
514191-1,Phaseolus vulgaris L.,22,n,22,"C-ValueDB, Zonneveld, 2019"
986643-1,Phedimus hybridus (L.) 't Hart,NA,NA,NA,NA
986644-1,Phedimus kamtschaticus (Fisch. & C.A.Mey.) 't Hart,NA,NA,NA,NA
986636-1,Phedimus spurius (M.Bieb.) 't Hart,NA,NA,NA,NA
274703-1,Phedimus stellatus (L.) Raf.,NA,NA,NA,NA
986638-1,Phedimus stoloniferus (S.G.Gmel.) 't Hart,NA,NA,NA,NA
17344580-1,Phegopteris connectilis (Michx.) Watt,90,n,90,"C-ValueDB, Šmarda et al. 2019"
662856-1,Phelipanche purpurea (Jacq.) Soják,24,n,24,"C-ValueDB, Šmarda et al. 2019"
792194-1,Philadelphus coronarius L.,NA,NA,26,"Zonneveld, 2019"
415775-1,Phleum alpinum L.,24| 28,v,"14, 28","C-ValueDB, Šmarda et al. 2019"
415780-1,Phleum arenarium L.,14,n,14,"Zonneveld, 2019"
415786-1,Phleum bertolonii DC.,NA,NA,NA,NA
415866-1,Phleum phleoides (L.) H.Karst.,14,n,14,Šmarda et al. 2019
415868-1,Phleum pratense L.,14| 42,v,42,"C-ValueDB, Šmarda et al. 2019"
453897-1,Phlomis fruticosa L.,NA,NA,NA,NA
454047-1,Phlomis russeliana (Sims) Benth.,NA,NA,NA,NA
193615-2,Phlox paniculata L.,NA,NA,NA,NA
668912-1,Phoenix dactylifera L.,NA,NA,36,C-ValueDB
539915-1,Phormium cookianum Le Jol.,NA,NA,NA,NA
539926-1,Phormium tenax J.R.Forst. & G.Forst.,NA,NA,32,C-ValueDB
727366-1,Photinia davidiana (Decne.) Cardot,NA,NA,NA,NA
30337627-2,Phragmites australis (Cav.) Trin. ex Steud.,48,p,"48, 96, 36-96","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
760451-1,Phuopsis stylosa (Trin.) Benth. & Hook.f. ex B.D.Jacks.,NA,NA,"20, 22","Zonneveld, 2019"
808375-1,Phygelius capensis E.Mey. ex Benth.,NA,NA,NA,NA
1024147-2,Phyllodoce caerulea (L.) Bab.,NA,NA,NA,NA
17448050-1,Phymatosorus diversifolius (Willd.) Pic.Serm.,NA,NA,NA,NA
195334-2,Physalis angulata L.,NA,NA,NA,NA
817444-1,Physalis ixocarpa Brot. ex Hornem.,NA,NA,NA,NA
195473-2,Physalis peruviana L.,NA,NA,"24, 48","Zonneveld, 2019"
817532-1,Physalis philadelphica Lam.,NA,NA,NA,NA
195489-2,Physalis pubescens L.,NA,NA,NA,NA
1115316-2,Physocarpus opulifolius (L.) Maxim.,NA,NA,18,"C-ValueDB, Zonneveld, 2019"
846605-1,Physospermum cornubiense (L.) DC.,NA,NA,NA,NA
144438-1,Phyteuma orbiculare L.,22,n,22,"C-ValueDB, Šmarda et al. 2019"
144476-1,Phyteuma scheuchzeri All.,NA,NA,NA,NA
144490-1,Phyteuma spicatum L.,NA,NA,22,Šmarda et al. 2019
676329-1,Phytolacca acinosa Roxb.,NA,NA,"18, 36, 72","Zonneveld, 2019"
323290-2,Phytolacca americana L.,NA,NA,36,"C-ValueDB, Zonneveld, 2019"
676388-1,Phytolacca polyandra Batalin,NA,NA,NA,NA
262609-1,Picea abies (L.) H.Karst.,NA,NA,24,"Šmarda et al. 2019, Zonneveld, 2019"
262646-1,Picea engelmannii Engelm.,NA,NA,NA,NA
195874-2,Picea glauca (Moench) Voss,NA,NA,NA,NA
60440467-2,Picea omorika (Pancic) Purk.,NA,NA,24,"Zonneveld, 2019"
60440465-2,Picea orientalis (L.) Link,NA,NA,24,"Zonneveld, 2019"
30095300-2,Picea pungens Engelm.,NA,NA,24,"Zonneveld, 2019"
676986-1,Picea sitchensis (Bong.) Carrière,NA,NA,24,"Zonneveld, 2019"
237848-1,Picris hieracioides L.,10,n,"10, 15","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
238000-1,Pilosella aurantiaca (L.) F.W.Schultz & Sch.Bip.,36,n,NA,NA
238026-1,Pilosella caespitosa (Dumort.) P.D.Sell & C.West,NA,NA,NA,NA
60473608-2,Pilosella flagellaris (Willd.) P.D.Sell & C.West,54,n,NA,NA
77133566-1,Pilosella officinarum F.W.Schultz & Sch.Bip.,18| 27| 36| 45| 54,v,"36, 54",Šmarda et al. 2019
238233-1,Pilosella peleteriana (Mérat) F.W. Schultz & Sch. Bip.,18,n,NA,NA
238251-1,Pilosella praealta (Vill. ex Gochnat) F.W.Schultz & Sch.Bip.,NA,NA,NA,NA
303200-2,Pilularia globulifera L.,26,n,26,Šmarda et al. 2019
846901-1,Pimpinella major (L.) Huds.,NA,NA,"18, 20","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
846958-1,Pimpinella peregrina L.,NA,NA,NA,NA
847025-1,Pimpinella saxifraga L.,40,n,"20, 36, 40","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
526412-1,Pinguicula alpina L.,NA,NA,NA,NA
526455-1,Pinguicula grandiflora Lam.,NA,NA,32,"C-ValueDB, Šmarda et al. 2019"
526482-1,Pinguicula lusitanica L.,12,n,12,C-ValueDB
526527-1,Pinguicula vulgaris L.,NA,NA,64,"C-ValueDB, Šmarda et al. 2019"
30000492-2,Pinus contorta Douglas ex Loudon,NA,NA,NA,NA
677083-1,Pinus mugo Turra,NA,NA,24,"Šmarda et al. 2019, Zonneveld, 2019"
314970-2,Pinus muricata D.Don,24,n,NA,NA
677088-1,Pinus nigra J.F.Arnold,24,n,24,Šmarda et al. 2019
263209-1,Pinus peuce Griseb.,NA,NA,NA,NA
263216-1,Pinus pinaster Aiton,NA,NA,24,"Zonneveld, 2019"
307165-2,Pinus ponderosa Douglas ex Lawson & C.Lawson,NA,NA,NA,NA
30020085-2,Pinus radiata D.Don,24,n,NA,NA
